Date,City,Country,Day_of_Week,Weather_Condition,Avg_Temp_C,Avg_Commute_Time_Mins,Primary_Transport_Mode,Avg_Coffee_Cups_Per_Person,Work_Productivity_Index,Public_Transit_Strike_Flag
2024-03-01,Amsterdam,Netherlands,Friday,Rainy,8,45,Metro,3.2,7.8,False
2024-03-01,Madrid,Spain,Friday,Sunny,18,30,Metro,2.1,8.2,False
2024-03-01,Berlin,Germany,Friday,Cloudy,6,35,Bicycle,3.5,7.5,False
2024-03-02,Amsterdam,Netherlands,Saturday,Rainy,9,15,Walk,4.1,4.2,False
2024-03-03,Amsterdam,Netherlands,Sunday,Cloudy,10,10,Walk,4.5,3.5,False
2024-03-04,Amsterdam,Netherlands,Monday,Sunny,11,25,Bicycle,2.8,8.5,False
2024-03-04,Paris,France,Monday,Rainy,9,65,Metro,3.8,6.1,True
2024-03-04,Berlin,Germany,Monday,Snow,2,55,Car,4.2,7.9,False
2024-03-05,Madrid,Spain,Tuesday,Sunny,20,28,Walk,2.2,8.5,False
2024-03-05,Amsterdam,Netherlands,Tuesday,Rainy,10,40,Metro,3.1,7.6,False
2024-03-06,Paris,France,Wednesday,Cloudy,12,45,Metro,2.9,8.1,False
2024-03-06,Berlin,Germany,Wednesday,Sunny,8,28,Bicycle,3.1,8.8,False
2024-03-07,London,UK,Thursday,Rainy,7,60,Metro,3.9,7.2,False
2024-03-08,London,UK,Friday,Rainy,8,58,Metro,3.6,6.5,False
2024-03-08,Madrid,Spain,Friday,Sunny,22,25,Bicycle,1.8,7.0,False
2024-03-11,Paris,France,Monday,Sunny,14,42,Metro,2.5,8.4,False
2024-03-11,London,UK,Monday,Cloudy,9,55,Bus,4.1,7.1,False
2024-03-12,Amsterdam,Netherlands,Tuesday,Sunny,12,22,Bicycle,2.6,8.9,False
2024-03-13,Berlin,Germany,Wednesday,Rainy,5,45,Metro,3.8,7.4,False
2024-03-14,Madrid,Spain,Thursday,Sunny,21,29,Metro,2.0,8.3,False
2024-03-15,Paris,France,Friday,Sunny,16,90,Car,2.2,5.5,True
2024-03-15,London,UK,Friday,Cloudy,10,50,Metro,3.5,6.8,False
2024-03-18,Amsterdam,Netherlands,Monday,Rainy,8,42,Metro,3.4,7.5,False
2024-03-18,Berlin,Germany,Monday,Sunny,10,25,Bicycle,3.0,9.1,False
2024-03-19,London,UK,Tuesday,Sunny,12,48,Metro,3.2,7.9,False
2024-03-20,Madrid,Spain,Wednesday,Rainy,14,45,Car,2.5,7.1,False
2024-03-21,Paris,France,Thursday,Sunny,15,40,Metro,2.4,8.6,False
2024-03-22,Berlin,Germany,Friday,Rainy,7,50,Car,3.9,7.0,False
2024-03-25,Madrid,Spain,Monday,Sunny,23,25,Walk,1.9,8.8,False
2024-03-25,London,UK,Monday,Rainy,9,62,Bus,4.5,6.9,False
